topic,positive_evidence,negative_evidence_1,negative_evidence_2,negative_evidence_3,negative_evidence_4,negative_evidence_5
We should prohibit corporal punishment,McKay also stresses the fact that corporal punishment continued to be inflicted for numerous offences and often proved fatal.,"The UK Government responded that ""the use of physical punishment is a matter for individual parents to decide"".","Many countries, including some US states, also permit the use of less severe corporal punishment for children in school.","George strongly believes in discipline and corporal punishment; his motto is ""it's discipline that begets love"".","On social issues, Harper argued for ""parental rights"" to use corporal punishment against their children and supported raising the age of sexual consent.","Zeigler believed Riley should be disciplined to say ""Sir"" and ""Ma'am"" to adults, and that corporal punishment was the best means of disciplining a child."
We should ban breast implants,"In 1992, the FDA placed silicone-gel breast implants in moratorium in the U.S., because there was ""inadequate information to demonstrate that breast implants were safe and effective"".","The long-term study of 25,000 women, Mortality among Canadian Women with Cosmetic Breast Implants (2006), reported that the ""findings suggest that breast implants do not directly increase mortality in women.""[REF] .","Since the 1990s, independent, comprehensive reviews of the studies seeking causal links between silicone-gel breast implants and systemic disease reported no causal link between the implants and subsequent systemic and autoimmune diseases.","After investigating, the U.S. FDA has concluded ""the weight of the epidemiological evidence published in the literature does not support an association between fibromyalgia and breast implants.""[REF][REF].","In 2002, the U.S. Food and Drug Administration reviewed the pertinent studies on the human biological effects of breast-implant platinum, and reported little causal evidence of platinum toxicity to the women with breast implants.","In 2002, the U.S. Food and Drug Administration reviewed the pertinent studies on the human biological effects of breast-implant platinum, and reported little causal evidence of platinum toxicity to the women with breast implants."
We should legalize prostitution,Many local officials believe that encouraging prostitution in recreational business operations will bring economic benefits by developing the tourism and hospitality industries and generating a significant source of tax revenue.,The Swedish Government believes that women selling sexual services to men constitutes a form of violence against women which should be eliminated by reducing demand.,"As noted by the US report, Some Canadian NGOs such as Vancouver Rape Relief and Sisyphe believe that keeping prostitution illegal is the best way to prevent human trafficking, forced prostitution, child prostitution and similar abusive activities.",A law proposal was introduced in the House of Representatives of the Netherlands in 2009 and amended in 2010 which would ban prostitution by people younger than 21.,"On September 2, 2009, Cicilline submitted an ordinance to the City Council to ban indoor prostitution in the city, imposing a $500 fine and a potential 30-day prison sentence on violators.","The proponents of the abolitionist view hold that prostitution is a practice which ultimately leads to the mental, emotional and physical destruction of the women who engage in it, and, as such, it should be abolished."
We should introduce universal health care,The Communist government asserted that universal health care was to become a priority of state planning and progress was made in rural areas.,"A 1960s record distributed by the American Medical Association, narrated by Ronald Reagan, warns that universal health care could lead to lost freedoms and socialism.","A 1960s record distributed by the American Medical Association, narrated by Ronald Reagan, warns that universal health care could lead to lost freedoms and socialism.","A 1960s record distributed by the American Medical Association, narrated by Ronald Reagan, warns that universal health care could lead to lost freedoms and socialism.","A 1960s record distributed by the American Medical Association, narrated by Ronald Reagan, warns that universal health care could lead to lost freedoms and socialism.","A 1960s record distributed by the American Medical Association, narrated by Ronald Reagan, warns that universal health care could lead to lost freedoms and socialism."
We should subsidize condoms,"According to a 2000 report by the National Institutes of Health (NIH), correct and consistent use of latex condoms reduces the risk of HIV/AIDS transmission by approximately 85% relative to risk when unprotected, putting the seroconversion rate (infection rate) at 0.9 per 100 person-years with condom, down from 6.7 per 100 person-years.","Pro-life groups refer to the Director of Harvard's Aid Prevention Center, Edward C. Green, who said that the ""best evidence"" agrees with Benedict XVI's statement that condom distribution risked exacerbating the spread of the virus, because availability of condoms leads to riskier sexual behavior.","In 2007, Malaysia's Ministry of Health was banned from advocating the use of condoms to prevent the spread of the disease due to a concern that such a campaign would be equated with a governmental endorsement of sexual conduct outside of a legal marriage.","Dr. Rene Bullecer of AIDS Free Philippines criticized the use of condoms as ""not the appropriate solution to the rising HIV cases"" He said that ""the distribution of condoms is even a form of discrimination against women, particularly those working in bars, because 'it's as if the government is branding all of them as prostitutes.'""[REF]","Joseph McIlhaney, a Texas-based doctor known for his published beliefs rejecting the use of condoms to prevent the spread of HIV and other sexually transmitted diseases, and his continued advocacy of abstinence-only programs despite negligible evidence that they actually reduce pregnancy rates among young people.","Joseph McIlhaney, a Texas-based doctor known for his published beliefs rejecting the use of condoms to prevent the spread of HIV and other sexually transmitted diseases, and his continued advocacy of abstinence-only programs despite negligible evidence that they actually reduce pregnancy rates among young people."
We should further exploit wind power,A 2009 poll conducted by Portland-based Critical Insights shows that 90% of Maine people support the development of wind power as a source of electricity.,The IER claims that Pickens' plan relies on government subsidies and that producing large amounts of wind power is not a viable option.,"According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" ."
We should legalize cannabis,"In recent years, Copenhagen Municipality has been in favor of legalizing cannabis via state-run coffee-shops, in order to take over the control of the substance which is currently mostly supplied by criminal gangs.",A 2007 study of studies published in the Lancet concluded that cannabis users are 40% more likely to be sufferers of a psychotic illness than non-users.,Researchers from the University of British Columbia presented a study at the American Thoracic Society 2007 International Conference showing that smoking cannabis and tobacco together more than tripled the risk of developing COPD over just smoking tobacco alone.[REF],"For example, a 2007 meta-analysis showed that cannabis use is statistically associated with a dose-dependent increase in risk of development of psychotic disorders, including schizoaffective disorder.","The lead author of the study, Professor David Fergusson, stated that ""the regular use of cannabis increases the risks that young people will try other illicit drugs.","A 10 year study on 1923 individuals from the general population in Germany, aged 14-24, concluded that cannabis use is a risk factor for the development of incident psychotic symptoms."
We should prohibit corporal punishment,"The American Academy of Pediatrics believes that corporal punishment possesses some negative side-effects and only limited benefits, and recommends the use of other forms of discipline to manage undesirable behavior.","Diana Baumrind believes that the evidence seems to indicate that mild, nonabusive, physical punishment is not harmful when used occasionally, in a loving relationship, and in conjunction with other methods of discipline, most notably with reasoning.","On social issues, Harper argued for ""parental rights"" to use corporal punishment against their children and supported raising the age of sexual consent.","Zeigler believed Riley should be disciplined to say ""Sir"" and ""Ma'am"" to adults, and that corporal punishment was the best means of disciplining a child.","Dobson first became well-known with the publication of Dare to Discipline (1970), which encouraged parents to use corporal punishment in disciplining their children.","Mr Chee carried over to the new Junior College the long-standing ACS ""family tradition"" of corporal punishment, using caning to discipline misbehaving male students."
We should prohibit hydraulic fracturing,"A study out of Cornell's College of Veterinary Medicine, soon to be published in 'New Solutions: A Journal of Environmental and Occupational Health Policy,' suggests that hydraulic fracking is sickening and killing cows, horses, goats, llamas, chickens, dogs, cats, fish and other wildlife, as well as humans.","Proponents say that hydraulic fracturing would give the United States energy independence,[REF] however, United States oil and natural gas companies have recently sought to build a new pipeline through Pennsylvania and Maryland[REF] to new liquid natural gas export terminals in Maryland,[REF] in order to increase profits by exporting gas to Europe and Asia (e.g.,","During the 2012 presidential campaign, GOP Primary Candidate Rick Perry cited a study funded by the Marcellus Shale Coalition that fracking the Marcellus Formation is expected to create a quarter million jobs under the current policies of the Obama administration.","In 2004, the EPA released a study that concluded the threat to drinking water from hydraulic fracturing was ""minimal"" and the Energy Policy Act of 2005 exempted fractured wells from being re-classified as injection wells, which would place them under federal regulation under the Safe Drinking Water Act.","An early draft of the study discussed the possibility of dangerous levels of fracking-fluid contamination, and mentioned ""possible evidence"" of aquifer contamination; both these points were absent from the final report, which concluded simply that fracking ""poses little or no threat to drinking water"".","A heavily criticised 2004 study by the US Environmental Protection Agency-which concluded fracking posed ""little or no threat to drinking water"", a conclusion that was the likely basis for fracking's controversial exemption from the Safe Drinking Water Act in 2005-operated within this same narrow framework: complete inattention to anything other than the injection phase of the fracking process."
We should legalize polygamy,"After living with the African people, Kingsley became directly aware how their societies functioned and how prohibiting customs such as polygamy would be detrimental to their way of life.","President Garfield stated that polygamy offended ""the moral sense of manhood"" and that the LDS Church, which advocated the practice, prevented the ""administration of justice through ordinary instrumentalities of law.""[REF] .","In 2003, Director of the Israeli Population Administration Department, Herzl Gedj, described polygamy in the Bedouin sector a ""security threat"" and advocated various means of reducing the Arab birth rate.","Romney's paternal great-grandparents practiced plural marriage, and went to Mexico in 1884 after the 1878 U.S. Supreme Court decision in Reynolds v. United States that upheld laws banning polygamy.",Critics of polygamy in the early LDS Church claim that church leaders established the practice of polygamy in order to further their immoral desires for sexual gratification with multiple sexual partners.,One of the conditions for granting Utah and other western territories statehood was that a ban on polygamy be written into the state constitution.
We should subsidize condoms,The United States government only recommends condom use to prevent hepatitis C transmission in those with multiple partners.,"In 2009, Pope Benedict XVI asserted that handing out condoms is not the solution to combating AIDS and might make the problem worse.","In 2009, Cardinal Maradiaga agreed with the Pope that condoms cannot be of any real benefit in the fight against AIDS.","In his capacity as Director of Foreign Assistance, Tobias encouraged sexual abstinence, and discounted the use of condoms, in preventing HIV/AIDS.","""Statistics show that condoms really have not been very effective,"" Tobias told a news conference in Berlin on April 21, 2004.","""Statistics show that condoms really have not been very effective,"" Tobias told a news conference in Berlin on April 21, 2004."
We should subsidize biofuels,"France, Germany, the United Kingdom and the United States governments have supported biofuels with tax breaks, mandated use, and subsidies.",A growing body of academic research suggested that biofuels would effectively displace agricultural production and cause damaging land-use change in other parts of the world.,Environmental campaigner George Monbiot has argued for a 5-year freeze on biofuels while their impact on poor communities and the environment is assessed.,The World Bank lists the effect of biofuels as an important contributor to higher food prices.,The World Bank lists the effect of biofuels as an important contributor to higher food prices.,The World Bank lists the effect of biofuels as an important contributor to higher food prices.
We should end international aid,"In July 2008, Myers wrote an article arguing that providing aid to Africa only results in increasing its population, and its problems.",Graham also told Amir Sjarifuddin that the US would provide aid to help rebuild a free Indonesia.,"Edward Walker, former ambassador to Egypt noted ""Aid offers an easy way out for Egypt to avoid reform.","Edward Walker, former ambassador to Egypt noted ""Aid offers an easy way out for Egypt to avoid reform.","Edward Walker, former ambassador to Egypt noted ""Aid offers an easy way out for Egypt to avoid reform.","Edward Walker, former ambassador to Egypt noted ""Aid offers an easy way out for Egypt to avoid reform."
We should legalize polygamy,Sallabi would not oppose Hamas' armed struggle against Israel and supports the lifting of laws banning polygamy.,"Early Church Fathers advocated against polygamy, abortion, infanticide, child abuse, homosexuality, transvestism, and incest.",Richard Abanes claims that church leaders sometimes used polygamy to take advantage of young girls for immoral purposes.,"In the former USSR republics, a prohibition against polygamy has been inherited from Soviet Law.","In the former USSR republics, a prohibition against polygamy has been inherited from Soviet Law.","In the former USSR republics, a prohibition against polygamy has been inherited from Soviet Law."
We should prohibit corporal punishment,"In November 2009, the government of the People's Republic of China banned physical punishment to ""wean"" teens from the Internet.","The UK Government responded that ""the use of physical punishment is a matter for individual parents to decide"".","Many countries, including some US states, also permit the use of less severe corporal punishment for children in school.","Zeigler believed Riley should be disciplined to say ""Sir"" and ""Ma'am"" to adults, and that corporal punishment was the best means of disciplining a child.","Dobson first became well-known with the publication of Dare to Discipline (1970), which encouraged parents to use corporal punishment in disciplining their children.","Mr Chee carried over to the new Junior College the long-standing ACS ""family tradition"" of corporal punishment, using caning to discipline misbehaving male students."
We should ban partial birth abortions,"While in the State Senate, Lauzen has also sponsored a ban on partial-birth abortion, has supported term limits for State Legislators,[REF] has tried to limit spending in the Illinois General Assembly, and has worked to reduce deficit spending in Illinois.","Kennedy's majority opinion argued that the case differed from Stenberg v. Carhart, a 2000 case in which the Supreme Court struck down a state ban on ""partial-birth abortion"" as unconstitutional, in that the Partial Birth Abortion Act defined the banned procedure more clearly.","In the 2000 Supreme Court case of Stenberg v. Carhart, a Nebraska law banning ""partial-birth abortion"" was ruled unconstitutional, in part because the language defining ""partial-birth abortion"" was deemed vague.","In the 2000 Supreme Court case of Stenberg v. Carhart, a Nebraska law banning ""partial-birth abortion"" was ruled unconstitutional, in part because the language defining ""partial-birth abortion"" was deemed vague.","In the 2000 Supreme Court case of Stenberg v. Carhart, a Nebraska law banning ""partial-birth abortion"" was ruled unconstitutional, in part because the language defining ""partial-birth abortion"" was deemed vague.","In the 2000 Supreme Court case of Stenberg v. Carhart, a Nebraska law banning ""partial-birth abortion"" was ruled unconstitutional, in part because the language defining ""partial-birth abortion"" was deemed vague."
We should prohibit hydraulic fracturing,"Congressional Study A 2011 study by Congressional Democrats found that, in the process of hydraulic fracturing, ""oil and gas companies injected hundreds of millions of gallons of hazardous or carcinogenic chemicals into wells in more than 13 states from 2005 to 2009,"" according to the New York Times.","Proponents say that hydraulic fracturing would give the United States energy independence,[REF] however, United States oil and natural gas companies have recently sought to build a new pipeline through Pennsylvania and Maryland[REF] to new liquid natural gas export terminals in Maryland,[REF] in order to increase profits by exporting gas to Europe and Asia (e.g.,","During the 2012 presidential campaign, GOP Primary Candidate Rick Perry cited a study funded by the Marcellus Shale Coalition that fracking the Marcellus Formation is expected to create a quarter million jobs under the current policies of the Obama administration.","In 2004, the EPA released a study that concluded the threat to drinking water from hydraulic fracturing was ""minimal"" and the Energy Policy Act of 2005 exempted fractured wells from being re-classified as injection wells, which would place them under federal regulation under the Safe Drinking Water Act.","An early draft of the study discussed the possibility of dangerous levels of fracking-fluid contamination, and mentioned ""possible evidence"" of aquifer contamination; both these points were absent from the final report, which concluded simply that fracking ""poses little or no threat to drinking water"".","A heavily criticised 2004 study by the US Environmental Protection Agency-which concluded fracking posed ""little or no threat to drinking water"", a conclusion that was the likely basis for fracking's controversial exemption from the Safe Drinking Water Act in 2005-operated within this same narrow framework: complete inattention to anything other than the injection phase of the fracking process."
We should subsidize biofuels,Recent studies show that biofuels could supply 30% to 40% of U.S. petroleum products by 2030.,"A November 2020 study states that biofuels, their production, and their subsidies as leading causes of agricultural price shocks.","A November 2020 study states that biofuels, their production, and their subsidies as leading causes of agricultural price shocks.","A November 2020 study states that biofuels, their production, and their subsidies as leading causes of agricultural price shocks.","A November 2020 study states that biofuels, their production, and their subsidies as leading causes of agricultural price shocks.","A November 2020 study states that biofuels, their production, and their subsidies as leading causes of agricultural price shocks."
We should subsidize biofuels,The OECD study found that existing biofuel support policies would reduce greenhouse gas emissions by no more than 0.8 percent by 2015.,"A November 2020 study states that biofuels, their production, and their subsidies as leading causes of agricultural price shocks.",A growing body of academic research suggested that biofuels would effectively displace agricultural production and cause damaging land-use change in other parts of the world.,"In October 2008, Peter Brabeck-Letmathe, chairman and former chief executive of Nestlé, warned that the production of biofuels will further deplete the world's water supply.",A team led by Fargione from The Nature Conservancy found that clearing natural lands for use as agricultural land to produce biofuel feedstock creates a carbon debt.,Environmental campaigner George Monbiot has argued for a 5-year freeze on biofuels while their impact on poor communities and the environment is assessed.
We should subsidize biofuels,"According to the International Energy Agency, new bioenergy (biofuel) technologies being developed today, notably cellulosic ethanol biorefineries, could allow biofuels to play a much bigger role in the future than previously thought.","The OECD study concluded that ""..current biofuel support measures alone are estimated to increase average wheat prices by about 5 percent, maize by around 7 percent and vegetable oil by about 19 percent over the next 10 years.""[REF] .",The study conclusion is that the net effect of biofuel production via clearing of carbon-rich habitats is to increase CO2 emissions for decades or centuries relative to fossil fuel use.,"In 2007, United nations Food and Agriculture Organization Special Rapporteur for the Right to Food urges five year moratorium on food based biofuels, including ethanol, saying its development is a ""crime against humanity.""","In 2007, United nations Food and Agriculture Organization Special Rapporteur for the Right to Food urges five year moratorium on food based biofuels, including ethanol, saying its development is a ""crime against humanity.""","In 2007, United nations Food and Agriculture Organization Special Rapporteur for the Right to Food urges five year moratorium on food based biofuels, including ethanol, saying its development is a ""crime against humanity."""
We should fight illegal immigration,"The Israeli economic commentator Nehemiah Shtrasler estimated that the illegal immigrants take the places of weaker manual workers, causing loss of jobs and a reduction in the wages.","In 2007, President George W. Bush called for Congress to endorse his guest worker proposal, stating that illegal immigrants took jobs that Americans would not take.","Craig, the principal sponsor of AgJOBS, continues to support amnesty for illegal immigrants who are ""trusted workers with a significant work history in American agriculture.""[REF]","Craig, the principal sponsor of AgJOBS, continues to support amnesty for illegal immigrants who are ""trusted workers with a significant work history in American agriculture.""[REF]","Craig, the principal sponsor of AgJOBS, continues to support amnesty for illegal immigrants who are ""trusted workers with a significant work history in American agriculture.""[REF]","Craig, the principal sponsor of AgJOBS, continues to support amnesty for illegal immigrants who are ""trusted workers with a significant work history in American agriculture.""[REF]"
We should legalize polygamy,There are some modern Biblical scholars who believe that the Bible advocates polygamy such as Blaine Robinson.,Richard Abanes claims that church leaders sometimes used polygamy to take advantage of young girls for immoral purposes.,"In the former USSR republics, a prohibition against polygamy has been inherited from Soviet Law.","In the former USSR republics, a prohibition against polygamy has been inherited from Soviet Law.","In the former USSR republics, a prohibition against polygamy has been inherited from Soviet Law.","In the former USSR republics, a prohibition against polygamy has been inherited from Soviet Law."
We should legalize cannabis,"Francis L. Young, an administrative law judge with the United States Drug Enforcement Agency declared in 1988 that, ""in its natural form, [cannabis] is one of the safest therapeutically active substances known.""[REF]",A 2007 study of studies published in the Lancet concluded that cannabis users are 40% more likely to be sufferers of a psychotic illness than non-users.,Researchers from the University of British Columbia presented a study at the American Thoracic Society 2007 International Conference showing that smoking cannabis and tobacco together more than tripled the risk of developing COPD over just smoking tobacco alone.[REF],"For example, a 2007 meta-analysis showed that cannabis use is statistically associated with a dose-dependent increase in risk of development of psychotic disorders, including schizoaffective disorder.","A large, unselected population-based study, published in British Journal of Psychiatry (2008), examined cannabis use and prodromal symptoms of psychosis at age 15-16 years and concluded that cannabis use was associated with prodromal symptoms of psychosis in adolescence.","Gonzales v. Raich (2005) held in a 6-3 decision that the Commerce Clause of the United States Constitution allowed the federal government to ban the use of cannabis, including medical use even if local laws allow it."
We should legalize polygamy,"Zhirinovsky made his first proposal to legalize polygamy as early as 1993, after Kadyrov's declaration that he would introduce an amendment to legalize polygyny for all Russian citizens.","President Garfield stated that polygamy offended ""the moral sense of manhood"" and that the LDS Church, which advocated the practice, prevented the ""administration of justice through ordinary instrumentalities of law.""[REF] .","In 2003, Director of the Israeli Population Administration Department, Herzl Gedj, described polygamy in the Bedouin sector a ""security threat"" and advocated various means of reducing the Arab birth rate.","Sarah Pratt, first wife of Mormon Apostle Orson Pratt, in an outspoken critique of Mormon polygamy said that [polygamy] completely demoralizes good men and makes bad men correspondingly worse.","Romney's paternal great-grandparents practiced plural marriage, and went to Mexico in 1884 after the 1878 U.S. Supreme Court decision in Reynolds v. United States that upheld laws banning polygamy.",Critics of polygamy in the early LDS Church claim that church leaders established the practice of polygamy in order to further their immoral desires for sexual gratification with multiple sexual partners.
We should ban trans fats usage in food,"King County of Washington passed a ban on artificial trans fats effective February 1, 2009.",Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.
We should prohibit corporal punishment,"Save the Children ""opposes all forms of corporal punishment on children"".",30% agreed that physical punishment should be part of child discipline.,30% agreed that physical punishment should be part of child discipline.,30% agreed that physical punishment should be part of child discipline.,30% agreed that physical punishment should be part of child discipline.,30% agreed that physical punishment should be part of child discipline.
We should prohibit corporal punishment,Furedi suggests that many advocates of a total ban on physical punishment are actually against all forms of punishing children.,"Zeigler believed Riley should be disciplined to say ""Sir"" and ""Ma'am"" to adults, and that corporal punishment was the best means of disciplining a child.","Dobson first became well-known with the publication of Dare to Discipline (1970), which encouraged parents to use corporal punishment in disciplining their children.","Mr Chee carried over to the new Junior College the long-standing ACS ""family tradition"" of corporal punishment, using caning to discipline misbehaving male students.","Principal Mr Shelton Perkins is a believer in using the strap, a form of corporal punishment, when other methods to instil discipline have failed.","Principal Mr Shelton Perkins is a believer in using the strap, a form of corporal punishment, when other methods to instil discipline have failed."
We should abandon coal mining,"George Monbiot asked why he couldn't find any opposition of the CPRE to surface coal mining over the past five years, and pointed out that the negative effects that coal mines cause by removing the soil from large areas are much greater than the negative effects wind energy might have on the countryside.","According to the American Society of Civil Engineers, the Kinzua Bridge ""was a critical structure in facilitating the transport of coal from Northwestern Pennsylvania to the Eastern Great Lakes region, and is credited with causing an increase in coal mining that led to significant economic growth.""[REF] .","According to the American Society of Civil Engineers, the Kinzua Bridge ""was a critical structure in facilitating the transport of coal from Northwestern Pennsylvania to the Eastern Great Lakes region, and is credited with causing an increase in coal mining that led to significant economic growth.""[REF] .","According to the American Society of Civil Engineers, the Kinzua Bridge ""was a critical structure in facilitating the transport of coal from Northwestern Pennsylvania to the Eastern Great Lakes region, and is credited with causing an increase in coal mining that led to significant economic growth.""[REF] .","According to the American Society of Civil Engineers, the Kinzua Bridge ""was a critical structure in facilitating the transport of coal from Northwestern Pennsylvania to the Eastern Great Lakes region, and is credited with causing an increase in coal mining that led to significant economic growth.""[REF] .","According to the American Society of Civil Engineers, the Kinzua Bridge ""was a critical structure in facilitating the transport of coal from Northwestern Pennsylvania to the Eastern Great Lakes region, and is credited with causing an increase in coal mining that led to significant economic growth.""[REF] ."
We should ban male infant circumcision,"Connolly et al. (2008) found that ""circumcision had no protective effect in the prevention of HIV transmission.",Other studies suggest that circumcision may reduce the risk of more invasive forms of penile cancer.,"The American Medical Association states that circumcision, properly performed, protects against the development of phimosis.",Studies indicate that male circumcision can reduce the chance of HIV infection in heterosexual men.,The most current research does not support the belief that neonatal circumcision disrupts breastfeeding.,"Morris also claims that circumcision prevents ""physical problems"" such as ""Bathroom splatter"" and ""Zipper injury""."
We should abolish the monarchy,"From that point onward, the Emperor ceased to believe in the monarchy as a viable form of government for Brazil's future, as his remaining heir was a daughter.","New Zealand Prime Minister John Key said: ""He believed that the monarchy was an instrument of change and can truly be seen as the architect of evolving democracy in Tonga.","Former Deputy Prime Minister Michael Cullen declared that he supported the monarchy, stating in 2004 he was ""a sort of token monarchist in the Cabinet these days.""[REF]","A 1999 Gallup poll found that 48% of Canadians thought Canada should have a monarch as its head of state, while 43% thought Canada should discontinue its ties with the monarchy.","Some, such as journalist Christina Blizzard, emphasise that the monarchy ""made [Canada] a haven of peace and justice for immigrants from around the world.""[REF]","The polling conducted by the Morgan Poll in May 2011 showed the support for the monarchy was now 55% (up 17% since 1999), whereas the support for a republic was at 34% (down 20%)."
Sex education should be mandatory,"In an attempt to reverse the increasing numbers of teenage pregnancies, governments in many Western countries have instituted sex education programs, the main objective of which is to reduce such pregnancies and STD's.","In June 2011, Hitchens was booed by a Question Time audience when he said that sex education was causing teenage pregnancies and sexually transmitted diseases, asserting that sex education ""is actually all about taking away [children's] innocence.""","In 2003 a Catholic church spokesman branded sex education as ""pornography"" and Cardinal O'Brien claimed plans to give sex education to pre-school children amounted to ""state-sponsored sexual abuse of minors.""[REF] .",McCain is against federal funding of birth control and sex education; his opposition included a vote against spending $100 million to reduce teen pregnancy by education and contraceptives.,McCain is against federal funding of birth control and sex education; his opposition included a vote against spending $100 million to reduce teen pregnancy by education and contraceptives.,McCain is against federal funding of birth control and sex education; his opposition included a vote against spending $100 million to reduce teen pregnancy by education and contraceptives.
We should end affirmative action,"A 2009 Quinnipiac University survey found American voters opposed to the application of affirmative action to gay people, 65 over 27 percent.","National Board, January 1989 The League advocates affirmative action programs for minorities and women and opposes private school vouchers.","Elkins' views were influential during the late 1960s when Daniel Patrick Moynihan, supported Affirmative action programs in order to counteract the lingering effects of slavery on black culture.","Four years later, President Lyndon B. Johnson elaborated on the importance of affirmative action to achieving true freedom for African Americans: .","In the Grutter case, the Court found by a 5-4 margin that the affirmative action policies of the University of Michigan Law School were constitutional.","In February 2007, Sarkozy appeared on a televised debate on TF1 where he expressed his support for affirmative action and the freedom to work overtime."
We should ban male infant circumcision,"A meta-analysis by Van Howe in 2006 found no significant association between circumcision status and HPV infection and that ""the medical literature does not support the claim that circumcision reduces the risk for genital HPV infection"".","The World Health Organization (WHO) said: ""Although these results demonstrate that male circumcision reduces the risk of men becoming infected with HIV, the UN agencies emphasize that it does not provide complete protection against HIV infection.","Both the WHO and CDC indicate that circumcision may not reduce HIV transmission from men to women, and that data are lacking for the transmission rate of men who engage in anal sex with a female partner.","As a result, a panel of experts convened by WHO and the UNAIDS Secretariat has ""recommended that male circumcision now be recognized as an additional important intervention to reduce the risk of heterosexually acquired HIV infection in men.""[REF]","As a result of these findings, the WHO and the Joint United Nations Programme on HIV/AIDS (UNAIDS) stated that male circumcision is an efficacious intervention for HIV prevention but should be carried out by well trained medical professionals and under conditions of informed consent.","Modern proponents, such as Morris, argue that circumcision reduces the risks of urinary tract infections, penile cancer, HIV, balanitis, posthitis, phimosis, and prostate cancer as well as conferring sexual benefits."
We should legalize cannabis,"Surprisingly, an extensive study published in 2006 by Donald Tashkin of the University of California, Los Angeles found that there is no significant link between smoking cannabis and lung cancer.",A 2007 study of studies published in the Lancet concluded that cannabis users are 40% more likely to be sufferers of a psychotic illness than non-users.,"A large, unselected population-based study, published in British Journal of Psychiatry (2008), examined cannabis use and prodromal symptoms of psychosis at age 15-16 years and concluded that cannabis use was associated with prodromal symptoms of psychosis in adolescence.","The BEACH[REF] study (Bettering the Evaluation and Care of Health) conducted by the Australian General Practice Statistics and Classification Centre, based at the University of Sydney, found that ""cannabis smokers are more likely to suffer depression, anxiety and psychosis"".","Gonzales v. Raich (2005) held in a 6-3 decision that the Commerce Clause of the United States Constitution allowed the federal government to ban the use of cannabis, including medical use even if local laws allow it.",The researchers conclude there is emerging evidence that positive experiences to early cannabis use are a significant predictor of late dependence and that genetic predisposition plays a role in the development of problematic use.
We should legalize cannabis,The DPA believes that cannabis should be legal for medicinal purposes of severely ill individuals.,The study reported that smoking both tobacco and cannabis synergistically increased the risk of respiratory symptoms and COPD.,Some studies have suggested that cannabis users have a greater risk of developing psychosis than non-users.,Evidence suggests that cannabis users can develop tolerance to the effects of THC and experience withdrawal symptoms.,Smaller studies have implicated cannabis use in the development of bladder cancer and testicular germ cell tumors.,Smaller studies have implicated cannabis use in the development of bladder cancer and testicular germ cell tumors.
We should increase government regulation,"The regulated expression of H19, from biallelic to monoallelic, throughout embryonic development suggests that regulation is essential for the growth of embryonic and extraembryonic tissues.","Energy: Badnarik opposes government regulation of the energy industry, instead arguing that the free market is more effective in controlling prices and maintaining stability.","Berg has voted to curtail EPA regulations, stating: ""In North Dakota, we know the damaging effects that overreaching government regulations can have on our small businesses and their ability to create jobs.""[REF]","The Party also supports the abolition of the Bank of Canada, arguing that government regulation of currency and credit is harmful to the economy.","2005 - the RCEP's report agreed with Downs' claim that current regulations are inadequate, and concluded that crop spraying is a health risk.","Sullivan is a vocal critic of the Environmental Protection Agency, claiming that regulations being pushed by the Obama Administration are harmful to the U.S. economy."
We should increase gun control,"Although the Brazilian Government, the Catholic Church, and the United Nations, argued in favor of a gun ban, it was argued successfully that guns are needed for personal security.",Musgrave strongly opposes gun control and successfully passed an amendment prohibiting the enforcement of a federal requirement to sell trigger locks with all handguns.,"Regarding the Second Amendment, Coburn believes that it ""recognizes the right of individual, law-abiding citizens to own and use firearms,"" and he opposes ""any and all efforts to mandate gun control on law-abiding citizens.""[REF]","Specter strongly opposes most gun control, voting against the Brady Bill, background checks at gun shows, the ban on assault weapons, and trigger locks for handguns.","The Sporting Shooters Association of Australia states that there is no evidence that gun control restrictions in 1987, 1996 and 2002 had any impact on the already established trends.","Lou Dobbs is pro-choice, opposes gun control and, though he is a fiscal conservative, supports some government regulations, as revealed in a 60 Minutes interview."
